p_val,avg_logFC,pct.1,pct.2,p_val_adj,gene,celltype,class
3.35003E-23,0.6395323,0.817,0.388,7.01932E-19,Mllt4,CC,S2_vs_S1
9.18031E-21,0.624179871,0.753,0.36,1.92355E-16,Gnb2l1,CC,S2_vs_S1
1.1925E-22,0.608435812,0.692,0.283,2.49865E-18,Sepw1,CC,S2_vs_S1
5.79692E-24,0.570314994,0.918,0.729,1.21463E-19,Rpl13a,CC,S2_vs_S1
1.41864E-16,0.509601092,0.586,0.256,2.97248E-12,Atp5o,CC,S2_vs_S1
3.4704E-17,0.50270687,0.631,0.279,7.27154E-13,Shfm1,CC,S2_vs_S1
3.45388E-17,0.501573635,0.706,0.337,7.23692E-13,Tceb2,CC,S2_vs_S1
9.1399E-14,0.463386086,0.507,0.213,1.91508E-09,BC029214,CC,S2_vs_S1
2.50408E-13,0.459394795,0.377,0.12,5.2468E-09,PISD,CC,S2_vs_S1
2.99181E-13,0.456792976,0.552,0.287,6.26875E-09,Fam177a,CC,S2_vs_S1
9.18328E-14,0.453400976,0.682,0.353,1.92417E-09,Vimp,CC,S2_vs_S1
1.96049E-12,0.446961749,0.538,0.248,4.10781E-08,Whsc1l1,CC,S2_vs_S1
3.12804E-12,0.443012138,0.584,0.283,6.55418E-08,Ptrf,CC,S2_vs_S1
9.62509E-12,0.427138974,0.557,0.271,2.01674E-07,Fam63b,CC,S2_vs_S1
3.53454E-14,0.425573147,0.475,0.186,7.40593E-10,Myeov2,CC,S2_vs_S1
3.70881E-09,0.417764322,0.377,0.167,7.77106E-05,Erdr1,CC,S2_vs_S1
8.78241E-15,0.409846309,0.599,0.267,1.84018E-10,Srp54b,CC,S2_vs_S1
1.48213E-10,0.399507781,0.432,0.19,3.10551E-06,Erbb2ip,CC,S2_vs_S1
1.46712E-12,0.380470089,0.525,0.236,3.07406E-08,Mesdc2,CC,S2_vs_S1
9.64521E-09,0.375769063,0.403,0.198,0.000202096,2310036O22Rik,CC,S2_vs_S1
8.31194E-12,0.373183778,0.462,0.198,1.7416E-07,2700060E02Rik,CC,S2_vs_S1
1.23013E-12,0.36863201,0.454,0.182,2.57749E-08,Ctage5,CC,S2_vs_S1
6.26628E-13,0.366385303,0.477,0.19,1.31297E-08,Gltscr2,CC,S2_vs_S1
4.07173E-10,0.358552149,0.456,0.209,8.5315E-06,Ngfrap1,CC,S2_vs_S1
9.35955E-10,0.353708355,0.411,0.186,1.96111E-05,Nhp2l1,CC,S2_vs_S1
2.42052E-08,0.348471391,0.329,0.132,0.000507171,9430020K01Rik,CC,S2_vs_S1
5.31749E-09,0.336958917,0.48,0.244,0.000111417,Gm21092,CC,S2_vs_S1
1.62486E-08,0.333620819,0.294,0.109,0.000340457,Setd8,CC,S2_vs_S1
1.14315E-06,0.328051132,0.398,0.209,0.023952328,1810011O10Rik,CC,S2_vs_S1
4.46365E-10,0.31720994,0.366,0.14,9.35269E-06,Prkcdbp,CC,S2_vs_S1
1.71861E-11,0.312261471,0.523,0.248,3.601E-07,Wbp5,CC,S2_vs_S1
6.00686E-09,0.307755512,0.289,0.101,0.000125862,Toporsos,CC,S2_vs_S1
1.30167E-07,0.305031568,0.324,0.14,0.002727385,Ppp2r4,CC,S2_vs_S1
9.09747E-07,0.287855415,0.337,0.163,0.019061932,Fam21,CC,S2_vs_S1
2.7968E-07,0.285031022,0.347,0.159,0.00586013,Sdpr,CC,S2_vs_S1
9.85517E-08,0.271185364,0.427,0.217,0.002064953,Sept2,CC,S2_vs_S1
1.45611E-06,0.268473713,0.398,0.209,0.030509806,Suv420h1,CC,S2_vs_S1
5.41669E-08,0.26675314,0.355,0.151,0.001134959,2810428I15Rik,CC,S2_vs_S1
2.31476E-08,0.266132181,0.26,0.081,0.000485012,Hiat1,CC,S2_vs_S1
9.87411E-07,0.259898054,0.302,0.136,0.020689228,Utp11l,CC,S2_vs_S1
5.54701E-09,0.259317168,0.268,0.085,0.000116226,Zfos1,CC,S2_vs_S1
3.48873E-18,-0.256653116,0,0.186,7.30994E-14,Nbdy,CC,S2_vs_S1
4.5463E-17,-0.259984979,0,0.174,9.52586E-13,Bclaf3,CC,S2_vs_S1
2.48731E-16,-0.261441859,0,0.167,5.21166E-12,Cop1,CC,S2_vs_S1
5.79714E-16,-0.2618276,0,0.163,1.21467E-11,Mfsd14a,CC,S2_vs_S1
7.23709E-15,-0.262604707,0,0.151,1.51639E-10,Large1,CC,S2_vs_S1
2.03E-13,-0.263149025,0,0.136,4.25347E-09,Nectin3,CC,S2_vs_S1
5.79714E-16,-0.266915108,0,0.163,1.21467E-11,Ppp4r3a,CC,S2_vs_S1
9.53578E-07,-0.268379767,0.04,0.147,0.019980319,Sorbs1,CC,S2_vs_S1
4.41047E-12,-0.271615279,0.058,0.248,9.24126E-08,Nup98,CC,S2_vs_S1
4.32334E-07,-0.281884812,0.207,0.372,0.009058705,Trim35,CC,S2_vs_S1
1.93666E-17,-0.282058806,0,0.178,4.05789E-13,Rtl8a,CC,S2_vs_S1
1.93666E-17,-0.283468036,0,0.178,4.05789E-13,Mosmo,CC,S2_vs_S1
1.2172E-07,-0.283631015,0.305,0.508,0.002550401,Ddx50,CC,S2_vs_S1
1.93666E-17,-0.28520556,0,0.178,4.05789E-13,Erg28,CC,S2_vs_S1
2.61841E-19,-0.28788394,0,0.198,5.48635E-15,Retreg2,CC,S2_vs_S1
1.06467E-16,-0.290286909,0,0.171,2.2308E-12,Atn1,CC,S2_vs_S1
6.22296E-19,-0.292447694,0,0.194,1.3039E-14,Ptpa,CC,S2_vs_S1
1.20147E-07,-0.293049032,0.17,0.345,0.002517438,Sf3b3,CC,S2_vs_S1
4.5463E-17,-0.2946197,0,0.174,9.52586E-13,Mindy3,CC,S2_vs_S1
4.54628E-17,-0.295524285,0,0.174,9.52582E-13,Nsmce3,CC,S2_vs_S1
2.61841E-19,-0.29711259,0,0.198,5.48635E-15,Hdgfl3,CC,S2_vs_S1
3.00222E-08,-0.302229327,0.212,0.399,0.000629056,Lnpep,CC,S2_vs_S1
5.79714E-16,-0.306050645,0,0.163,1.21467E-11,Ints6l,CC,S2_vs_S1
6.22296E-19,-0.31087555,0,0.194,1.3039E-14,Thap12,CC,S2_vs_S1
7.73962E-10,-0.319401861,0.085,0.264,1.62168E-05,Zfp445,CC,S2_vs_S1
1.92122E-20,-0.320532763,0,0.209,4.02553E-16,Naxe,CC,S2_vs_S1
1.92122E-20,-0.321869436,0,0.209,4.02553E-16,Mcrip1,CC,S2_vs_S1
1.92122E-20,-0.322562387,0,0.209,4.02553E-16,Utp11,CC,S2_vs_S1
6.22296E-19,-0.335705996,0,0.194,1.3039E-14,Gsdme,CC,S2_vs_S1
1.25607E-14,-0.335970448,0.072,0.291,2.63185E-10,Pgk1,CC,S2_vs_S1
2.61841E-19,-0.336462262,0,0.198,5.48635E-15,Nop53,CC,S2_vs_S1
3.48873E-18,-0.339477591,0,0.186,7.30994E-14,Cenpx,CC,S2_vs_S1
5.79714E-16,-0.34037658,0,0.163,1.21467E-11,CT025619.1,CC,S2_vs_S1
1.37756E-21,-0.342132647,0,0.221,2.8864E-17,Mia2,CC,S2_vs_S1
6.22296E-19,-0.34493767,0,0.194,1.3039E-14,AC149090.1,CC,S2_vs_S1
1.09897E-19,-0.347467517,0,0.202,2.30267E-15,Ss18l2,CC,S2_vs_S1
2.68453E-24,-0.358621782,0,0.248,5.6249E-20,Vps28,CC,S2_vs_S1
2.61841E-19,-0.372056313,0,0.198,5.48635E-15,Rex1bd,CC,S2_vs_S1
2.61841E-19,-0.373949123,0,0.198,5.48635E-15,Washc2,CC,S2_vs_S1
3.95647E-23,-0.383101884,0,0.236,8.29E-19,Eloc,CC,S2_vs_S1
9.64882E-23,-0.385154149,0,0.233,2.02172E-18,Erbin,CC,S2_vs_S1
1.37756E-21,-0.389918856,0,0.221,2.8864E-17,Mettl26,CC,S2_vs_S1
8.78436E-08,-0.396388281,0.639,0.733,0.001840586,Myl6,CC,S2_vs_S1
4.23784E-08,-0.398631658,0.355,0.539,0.000887954,Dbp,CC,S2_vs_S1
1.0707E-07,-0.403961033,0.841,0.919,0.002243433,Sparc,CC,S2_vs_S1
8.00217E-21,-0.411344642,0,0.213,1.6767E-16,Kmt5a,CC,S2_vs_S1
7.05118E-13,-0.411425214,0.984,0.984,1.47743E-08,Slc38a2,CC,S2_vs_S1
2.48731E-16,-0.413754066,0,0.167,5.21166E-12,Cavin2,CC,S2_vs_S1
1.61804E-23,-0.422030094,0,0.24,3.39028E-19,Ppp4r3b,CC,S2_vs_S1
4.52534E-09,-0.431115508,0.515,0.698,9.48195E-05,Hnrnpu,CC,S2_vs_S1
4.40626E-25,-0.431470951,0,0.256,9.23244E-21,Snu13,CC,S2_vs_S1
4.6008E-20,-0.43519573,0,0.205,9.64005E-16,Mrln,CC,S2_vs_S1
2.68453E-24,-0.436135485,0,0.248,5.6249E-20,Tug1,CC,S2_vs_S1
1.92122E-20,-0.436915589,0,0.209,4.02553E-16,Jcad,CC,S2_vs_S1
7.15404E-26,-0.439212008,0,0.264,1.49898E-21,Trir,CC,S2_vs_S1
3.67274E-08,-0.44551299,0.65,0.775,0.000769549,Rpl15,CC,S2_vs_S1
2.87083E-26,-0.466426954,0,0.267,6.01526E-22,Kmt5b,CC,S2_vs_S1
4.58489E-27,-0.478069681,0,0.275,9.60672E-23,Rtraf,CC,S2_vs_S1
1.08907E-24,-0.480915378,0,0.252,2.28194E-20,Cavin3,CC,S2_vs_S1
4.40626E-25,-0.485413001,0,0.256,9.23244E-21,Cops9,CC,S2_vs_S1
4.29761E-11,-0.498352768,0.257,0.523,9.00479E-07,Xist,CC,S2_vs_S1
6.13017E-07,-0.512617838,0.772,0.884,0.012844548,Itih2,CC,S2_vs_S1
7.24145E-28,-0.513303753,0,0.283,1.5173E-23,Naxd,CC,S2_vs_S1
1.03752E-30,-0.518578299,0,0.31,2.17391E-26,Mesd,CC,S2_vs_S1
4.45079E-29,-0.519742059,0,0.295,9.32574E-25,2900097C17Rik,CC,S2_vs_S1
2.87083E-26,-0.521377527,0,0.267,6.01526E-22,Bex3,CC,S2_vs_S1
4.45079E-29,-0.581845088,0,0.295,9.32574E-25,Tceal9,CC,S2_vs_S1
1.30303E-27,-0.598549576,0.003,0.287,2.73023E-23,Fbxl7,CC,S2_vs_S1
1.74657E-29,-0.60736511,0,0.298,3.65958E-25,Tcim,CC,S2_vs_S1
1.55701E-31,-0.613905817,0,0.318,3.26241E-27,Nsd3,CC,S2_vs_S1
6.00556E-32,-0.627759418,0,0.322,1.25834E-27,Atp5o.1,CC,S2_vs_S1
2.66667E-30,-0.632077093,0,0.306,5.58748E-26,Mindy2,CC,S2_vs_S1
6.22296E-19,-0.644206352,0,0.194,1.3039E-14,Cebpd,CC,S2_vs_S1
1.85947E-34,-0.646575207,0,0.345,3.89615E-30,Cavin1,CC,S2_vs_S1
8.85677E-33,-0.677447247,0,0.329,1.85576E-28,Paxx,CC,S2_vs_S1
5.17211E-37,-0.819343709,0,0.368,1.08371E-32,Gm47283,CC,S2_vs_S1
5.17211E-37,-0.898934194,0,0.368,1.08371E-32,Sem1,CC,S2_vs_S1
1.01148E-47,-1.051917997,0,0.461,2.11935E-43,Afdn,CC,S2_vs_S1
1.30026E-43,-1.095601847,0,0.426,2.72442E-39,Elob,CC,S2_vs_S1
2.00398E-45,-1.328212214,0,0.442,4.19893E-41,Rack1,CC,S2_vs_S1
2.36139E-29,0.852758108,0.557,0.12,4.94781E-25,PISD,CC,S5_vs_S1
7.76111E-11,0.813048296,0.403,0.167,1.62619E-06,S100a9,CC,S5_vs_S1
4.3185E-30,0.777415782,0.891,0.663,9.04856E-26,mt-Atp8,CC,S5_vs_S1
2.62734E-30,0.769425058,0.742,0.283,5.50507E-26,Sepw1,CC,S5_vs_S1
1.98652E-06,0.695508528,0.199,0.066,0.041623568,Ly6a,CC,S5_vs_S1
6.70793E-07,0.667619373,0.179,0.047,0.01405513,Cd74,CC,S5_vs_S1
9.24736E-24,0.659583308,0.776,0.36,1.9376E-19,Gnb2l1,CC,S5_vs_S1
7.11674E-09,0.648075092,0.322,0.132,0.000149117,S100a8,CC,S5_vs_S1
6.42666E-22,0.607568631,0.742,0.337,1.34658E-17,Tceb2,CC,S5_vs_S1
5.44841E-15,0.587400927,0.457,0.159,1.1416E-10,Sdpr,CC,S5_vs_S1
2.14164E-13,0.58174704,0.762,0.636,4.48737E-09,Dstn,CC,S5_vs_S1
9.56942E-19,0.561970857,0.79,0.388,2.00508E-14,Mllt4,CC,S5_vs_S1
5.22226E-20,0.560776287,0.882,0.729,1.09422E-15,Rpl13a,CC,S5_vs_S1
4.92624E-18,0.560193283,0.608,0.287,1.03219E-13,Fam177a,CC,S5_vs_S1
5.65005E-20,0.552855053,0.664,0.279,1.18385E-15,Shfm1,CC,S5_vs_S1
2.32806E-21,0.547016205,0.563,0.186,4.87799E-17,Myeov2,CC,S5_vs_S1
6.2519E-20,0.545068836,0.636,0.256,1.30996E-15,Atp5o,CC,S5_vs_S1
2.22016E-07,0.490679692,0.196,0.054,0.004651898,H2-Aa,CC,S5_vs_S1
1.58102E-06,0.480847486,0.104,0.008,0.033127205,Rgs5,CC,S5_vs_S1
1.40397E-19,0.479616908,0.633,0.248,2.94173E-15,Wbp5,CC,S5_vs_S1
2.65267E-16,0.478812162,0.723,0.353,5.55814E-12,Vimp,CC,S5_vs_S1
1.27951E-08,0.457819527,0.919,0.86,0.000268095,Sfrp4,CC,S5_vs_S1
1.11718E-08,0.456116012,0.706,0.531,0.000234083,H2-K1,CC,S5_vs_S1
3.16542E-17,0.452179047,0.496,0.155,6.63251E-13,Cxx1a,CC,S5_vs_S1
1.08606E-15,0.449075256,0.499,0.186,2.27563E-11,Nhp2l1,CC,S5_vs_S1
2.33194E-08,0.448208092,0.913,0.922,0.000488611,Tmsb4x,CC,S5_vs_S1
2.07559E-09,0.447205633,0.56,0.353,4.34899E-05,Mt2,CC,S5_vs_S1
5.97746E-07,0.446482164,0.434,0.26,0.012524577,Btg1,CC,S5_vs_S1
9.20385E-16,0.444043414,0.95,0.888,1.92848E-11,Cped1,CC,S5_vs_S1
3.91555E-10,0.41969975,0.849,0.864,8.20425E-06,Rps28,CC,S5_vs_S1
4.02742E-07,0.417723166,0.515,0.314,0.008438653,Hes1,CC,S5_vs_S1
2.67257E-12,0.411437256,0.496,0.213,5.59984E-08,BC029214,CC,S5_vs_S1
2.86304E-16,0.40938482,0.992,0.992,5.99893E-12,mt-Co1,CC,S5_vs_S1
5.57464E-11,0.401994109,0.482,0.217,1.16805E-06,Sept2,CC,S5_vs_S1
4.61621E-09,0.401287143,0.782,0.686,9.67234E-05,Sec61g,CC,S5_vs_S1
8.96766E-11,0.398503525,0.577,0.345,1.87899E-06,Amd1,CC,S5_vs_S1
2.6958E-14,0.395458339,0.501,0.198,5.6485E-10,2700060E02Rik,CC,S5_vs_S1
1.07558E-07,0.395447154,0.543,0.364,0.00225367,Vwc2,CC,S5_vs_S1
2.89127E-11,0.383775218,0.591,0.283,6.05808E-07,Ptrf,CC,S5_vs_S1
1.91405E-06,0.383596144,0.218,0.078,0.040105178,Nr4a2,CC,S5_vs_S1
1.05928E-07,0.376755129,0.129,0.012,0.002219513,H2-Ab1,CC,S5_vs_S1
3.40748E-08,0.374765425,0.7,0.578,0.000713968,Abcb1a,CC,S5_vs_S1
5.0309E-13,0.373641312,0.583,0.267,1.05412E-08,Srp54b,CC,S5_vs_S1
1.71211E-09,0.372288523,0.768,0.636,3.58738E-05,Cbx3,CC,S5_vs_S1
