"Gene_Clusters","Gene"
1,"Mllt4"
1,"Gnb2l1"
1,"Sepw1"
1,"Rpl13a"
1,"Atp5o"
1,"Shfm1"
1,"Tceb2"
1,"BC029214"
1,"Fam177a"
1,"Vimp"
1,"Whsc1l1"
1,"Ptrf"
1,"Fam63b"
1,"Myeov2"
1,"Erdr1"
1,"Srp54b"
1,"Erbb2ip"
1,"Mesdc2"
1,"2310036O22Rik"
1,"2700060E02Rik"
1,"Ctage5"
1,"Gltscr2"
1,"Ngfrap1"
1,"Nhp2l1"
1,"9430020K01Rik"
1,"Gm21092"
1,"Setd8"
1,"1810011O10Rik"
1,"Prkcdbp"
1,"Wbp5"
1,"Toporsos"
1,"Ppp2r4"
1,"Fam21"
1,"Sdpr"
1,"Sept2"
1,"Suv420h1"
1,"2810428I15Rik"
1,"Hiat1"
1,"Utp11l"
1,"Zfos1"
1,"mt-Atp8"
1,"Dstn"
1,"Rgs5"
1,"Cxx1a"
1,"Btg1"
1,"Cped1"
1,"Rps28"
1,"mt-Co1"
1,"Sec61g"
1,"Amd1"
1,"Cbx3"
1,"Rpl38"
1,"Ikzf5"
1,"mt-Nd4l"
1,"Atp5k"
1,"Nmt1"
1,"Crip1"
1,"Rps21"
1,"Rbp1"
1,"1110001J03Rik"
1,"Carkd"
1,"Apoa1bp"
1,"Sub1"
1,"Snhg9"
1,"Tonsl"
1,"Stra13"
1,"Dfna5"
1,"Hn1"
1,"0610011F06Rik"
1,"Ap2b1"
1,"Ifi30"
1,"Gm561"
1,"Rtfdc1"
1,"Smek2"
1,"Asgr1"
1,"Sik1"
1,"Dnajb2"
1,"Tceb1"
1,"BC030336"
1,"Fam73a"
1,"Prosc"
1,"Hdgfrp3"
1,"A830080D01Rik"
1,"Kdm6b"
1,"Dync1i2"
1,"0610007P14Rik"
1,"Slc4a10"
1,"Ccdc53"
1,"Tcea3"
1,"Hint2"
1,"2210013O21Rik"
1,"Anapc13"
1,"Nmt2"
1,"Gm26778"
1,"Tmco1"
1,"Rpl6"
1,"Cirbp"
1,"Ndufb4"
1,"1810043H04Rik"
1,"Ccnl1"
2,"PISD"
2,"S100a9"
2,"S100a8"
2,"Sfrp4"
2,"Nr4a2"
2,"Jun"
2,"Fosb"
2,"Fos"
2,"Unc5c"
2,"Gpm6a"
2,"Fam195b"
2,"Mkks"
2,"Hspa8"
2,"Gm12840"
2,"Nr4a1"
2,"Cebpb"
2,"Btg2"
2,"Egr1"
2,"Errfi1"
2,"Dusp1"
2,"Nr4a3"
2,"Pde10a"
2,"Slc5a3"
2,"Csrp2"
2,"Slc25a25"
2,"Higd1a"
2,"Klf4"
2,"Hsp90aa1"
2,"Midn"
2,"Ifrd1"
2,"Junb"
2,"Klf6"
2,"Filip1l"
2,"Dnaja1"
2,"Trib1"
2,"Ubc"
2,"Azin1"
2,"Hsp90b1"
2,"Tuba4a"
2,"Ptp4a1"
2,"Calr"
2,"Cbarp"
2,"Ptgds"
2,"Ttr"
2,"Gnal"
2,"Fosl2"
2,"Mrps6"
2,"Hsp90ab1"
2,"Maff"
2,"Chchd10"
2,"Rragd"
2,"Clic4"
2,"Hspa1b"
2,"Xbp1"
2,"Aig1"
2,"Gm20186"
2,"Bsn"
2,"Hsph1"
2,"Hmgcs1"
2,"Hspd1"
2,"Aldh1a1"
2,"Csrnp1"
2,"Adamts1"
2,"Dnajb1"
2,"Ldha"
2,"Cfl1"
2,"Ralgds"
2,"Tgfb1"
2,"Tmed5"
2,"Golph3"
2,"Mcl1"
2,"Atp6ap2"
2,"Hbegf"
2,"Pvr"
2,"Sh3bgrl2"
2,"Dlgap4"
3,"Nbdy"
3,"Bclaf3"
3,"Cop1"
3,"Mfsd14a"
3,"Large1"
3,"Nectin3"
3,"Ppp4r3a"
3,"Sorbs1"
3,"Rtl8a"
3,"Mosmo"
3,"Ddx50"
3,"Erg28"
3,"Retreg2"
3,"Atn1"
3,"Ptpa"
3,"Mindy3"
3,"Nsmce3"
3,"Hdgfl3"
3,"Lnpep"
3,"Ints6l"
3,"Thap12"
3,"Zfp445"
3,"Naxe"
3,"Mcrip1"
3,"Utp11"
3,"Gsdme"
3,"Pgk1"
3,"Nop53"
