"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"gene"	"cell.type"	"class"
2.50823820507095e-114	2.81036331645728	0.788	0.002	5.05109009737188e-110	"Xist"	"endothelial cell"	"3m.vs.1m"
1.7549461612212e-38	-0.929389392983148	0.159	0.667	3.53411057946725e-34	"Col1a2"	"endothelial cell"	"3m.vs.1m"
4.4546211035023e-30	-0.768197505102295	0.071	0.512	8.97071597823294e-26	"Col1a1"	"endothelial cell"	"3m.vs.1m"
7.97447279158238e-27	-0.723312677854378	0.15	0.562	1.60589933076886e-22	"Col3a1"	"endothelial cell"	"3m.vs.1m"
9.75496453635944e-26	-4.12028397401669	0.049	0.44	1.96445475833206e-21	"Dbp"	"endothelial cell"	"3m.vs.1m"
2.09120891934754e-24	-2.27127505524163	0	0.356	4.21127652178208e-20	"Ddx3y"	"endothelial cell"	"3m.vs.1m"
9.49691652553748e-23	0.959326276861351	0.332	0.064	1.91248904991274e-18	"Plac9"	"endothelial cell"	"3m.vs.1m"
4.36441075177096e-22	-1.23235979749771	0.496	0.798	8.78905037191637e-18	"Col4a1"	"endothelial cell"	"3m.vs.1m"
4.7339672613434e-20	-0.818886460908447	1	1	9.53326327089334e-16	"Tpt1"	"endothelial cell"	"3m.vs.1m"
5.03999665986393e-20	0.728845281050944	0.982	0.924	1.0149545273634e-15	"H2-K1"	"endothelial cell"	"3m.vs.1m"
1.11857919097425e-19	0.679265459410263	1	1	2.25259477478395e-15	"B2m"	"endothelial cell"	"3m.vs.1m"
1.37101382710287e-19	-0.606277635087205	0.925	0.981	2.76094764501975e-15	"Sparc"	"endothelial cell"	"3m.vs.1m"
3.4548993624345e-18	0.688226798890478	0.898	0.732	6.9574763360706e-14	"S100a6"	"endothelial cell"	"3m.vs.1m"
8.33928419906669e-17	0.917547538977002	0.77	0.496	1.67936505200805e-12	"Aldh2"	"endothelial cell"	"3m.vs.1m"
4.72799268833738e-16	-0.644789933797233	0.907	0.977	9.52123167577383e-12	"Serinc3"	"endothelial cell"	"3m.vs.1m"
5.94821278375608e-15	0.49945240611694	1	0.992	1.1978510903928e-10	"H2-D1"	"endothelial cell"	"3m.vs.1m"
1.00783664901304e-14	0.793997802738316	0.872	0.718	2.02958144378247e-10	"Tuba1b"	"endothelial cell"	"3m.vs.1m"
6.37472365985145e-14	-2.62826072039605	0.022	0.255	1.28374185062088e-09	"Nr1d1"	"endothelial cell"	"3m.vs.1m"
9.7493794144283e-13	-1.0833365680675	0.385	0.65	1.96333002647757e-08	"Maff"	"endothelial cell"	"3m.vs.1m"
8.07270369287153e-12	-0.553682791887479	1	0.998	1.62568106967047e-07	"Ftl1"	"endothelial cell"	"3m.vs.1m"
2.13846883491094e-11	-1.16219552553434	0.292	0.556	4.30644853974365e-07	"Hmox1"	"endothelial cell"	"3m.vs.1m"
2.23944319066815e-11	-1.0648161184198	0.336	0.58	4.50979069736752e-07	"Tspan4"	"endothelial cell"	"3m.vs.1m"
3.23096980320039e-11	-0.665162628075064	0.827	0.934	6.50652698968494e-07	"Btg1"	"endothelial cell"	"3m.vs.1m"
3.3574002667629e-11	0.502772844739948	0.261	0.082	6.76113265720713e-07	"H2-Ab1"	"endothelial cell"	"3m.vs.1m"
4.58771730090762e-11	0.805514828031847	0.81	0.669	9.23874510056777e-07	"Mgll"	"endothelial cell"	"3m.vs.1m"
1.0497920536029e-10	0.618744899169883	0.934	0.858	2.11407123754551e-06	"Crip1"	"endothelial cell"	"3m.vs.1m"
1.91152067993178e-10	0.76669331092456	0.748	0.605	3.84942034524661e-06	"Tspo"	"endothelial cell"	"3m.vs.1m"
6.5080734764963e-10	-0.606329954101993	0.69	0.817	1.31059583669683e-05	"Ifrd1"	"endothelial cell"	"3m.vs.1m"
8.63106920472905e-10	0.512560364320151	0.46	0.255	1.73812471644834e-05	"Cd74"	"endothelial cell"	"3m.vs.1m"
8.8039061973345e-10	-1.76569945848081	0.058	0.255	1.77293063001922e-05	"Nr1d2"	"endothelial cell"	"3m.vs.1m"
2.08745016671113e-09	1.68891469086114	0.465	0.27	4.20370714572287e-05	"Stmn2"	"endothelial cell"	"3m.vs.1m"
